type;RecurrencePlot;ACSF1;0.1;0.01904761904761905
type;MarkovTransitionField;ACSF1;0.14;0.05124131082423038
type;GramianAngularField;ACSF1;0.1;0.01851851851851852
type;RecurrencePlot;Adiac;0.5652173913043478;0.5401221754136871
type;MarkovTransitionField;Adiac;0.18925831202046037;0.15588541023559432
type;GramianAngularField;Adiac;0.1534526854219949;0.15417222855099544
type;RecurrencePlot;AllGestureWiimoteX;0.10285714285714286;0.0515598201082072
type;GramianAngularField;AllGestureWiimoteX;0.1;0.01818181818181818
type;RecurrencePlot;AllGestureWiimoteY;0.1;0.01818181818181818
type;GramianAngularField;AllGestureWiimoteY;0.08142857142857143;0.02027473895058729
type;RecurrencePlot;AllGestureWiimoteZ;0.12428571428571429;0.05178360833249577
type;GramianAngularField;AllGestureWiimoteZ;0.1;0.01818181818181818
type;RecurrencePlot;ArrowHead;0.29714285714285715;0.16147537672201348
type;MarkovTransitionField;ArrowHead;0.4857142857142857;0.3733174617709001
type;GramianAngularField;ArrowHead;0.5714285714285714;0.44972215878815563
type;RecurrencePlot;BME;0.31333333333333335;0.24476773581632916
type;MarkovTransitionField;BME;0.38;0.2525737817433082
type;GramianAngularField;BME;0.3333333333333333;0.16666666666666666
type;RecurrencePlot;Beef;0.2;0.06666666666666668
type;MarkovTransitionField;Beef;0.2;0.06666666666666668
type;GramianAngularField;Beef;0.2;0.06666666666666668
type;RecurrencePlot;BeetleFly;0.5;0.3333333333333333
type;MarkovTransitionField;BeetleFly;0.5;0.3333333333333333
type;GramianAngularField;BeetleFly;0.5;0.3333333333333333
type;RecurrencePlot;BirdChicken;0.5;0.3333333333333333
type;MarkovTransitionField;BirdChicken;0.5;0.3333333333333333
type;GramianAngularField;BirdChicken;0.5;0.3333333333333333
type;RecurrencePlot;CBF;0.33666666666666667;0.1698529188024376
type;MarkovTransitionField;CBF;0.48333333333333334;0.4141508689767144
type;GramianAngularField;CBF;0.40555555555555556;0.3767243338344481
type;RecurrencePlot;Car;0.23333333333333334;0.09459459459459459
type;MarkovTransitionField;Car;0.4166666666666667;0.2848391731183654
type;GramianAngularField;Car;0.4;0.27100409836065575
type;RecurrencePlot;Chinatown;0.27405247813411077;0.2151029748283753
type;MarkovTransitionField;Chinatown;0.7259475218658892;0.42060810810810806
type;GramianAngularField;Chinatown;0.27405247813411077;0.2151029748283753
type;RecurrencePlot;ChlorineConcentration;0.496875;0.4793367111406406
type;MarkovTransitionField;ChlorineConcentration;0.5307291666666667;0.5140991920543879
type;GramianAngularField;ChlorineConcentration;0.5791666666666667;0.3888575783837602
type;RecurrencePlot;CinCECGTorso;0.6318840579710145;0.6187680424942491
type;MarkovTransitionField;CinCECGTorso;0.4717391304347826;0.4498151226800762
type;GramianAngularField;CinCECGTorso;0.5826086956521739;0.5890925799269713
type;RecurrencePlot;Coffee;0.4642857142857143;0.3170731707317073
type;MarkovTransitionField;Coffee;0.5357142857142857;0.3488372093023256
type;GramianAngularField;Coffee;0.5357142857142857;0.3488372093023256
type;RecurrencePlot;Computers;0.5;0.3333333333333333
type;MarkovTransitionField;Computers;0.592;0.5400764735589063
type;GramianAngularField;Computers;0.5;0.3333333333333333
type;RecurrencePlot;CricketX;0.2794871794871795;0.28199491357505035
type;MarkovTransitionField;CricketX;0.28974358974358977;0.2820813167061496
type;GramianAngularField;CricketX;0.36666666666666664;0.3468065174949373
type;RecurrencePlot;CricketY;0.32564102564102565;0.32687247427376526
type;MarkovTransitionField;CricketY;0.1358974358974359;0.07846837148869013
type;GramianAngularField;CricketY;0.33589743589743587;0.33756942698087333
type;RecurrencePlot;CricketZ;0.3384615384615385;0.30048337461031177
type;MarkovTransitionField;CricketZ;0.34102564102564104;0.3084847160125413
type;GramianAngularField;CricketZ;0.4512820512820513;0.438007376425571
